,RGI@RGI,GIC0@citterio_2013,GIC1@citterio_2013,GIC2@citterio_2013,all@BedMachine,all@GIMP,all@MAR,all@RACMO,all@citterio_2013,all@harper_2023,all@mouginot_2019,attached@RACMO,main@BedMachine,main@GIMP,main@MAR,main@RACMO,main@harper_2023,main@mouginot_2019,peripheral@BedMachine,peripheral@GIMP,peripheral@MAR,peripheral@RACMO,peripheral@harper_2023,peripheral@mouginot_2019,shelf@BedMachine
RGI@RGI,88790.0,2971.0,59849.0,18439.0,78027.0,78416.0,72920.0,66555.0,78288.0,80636.0,76700.0,16611.0,20373.0,22871.0,19755.0,2600.0,17564.0,22037.0,57652.0,55545.0,53165.0,47344.0,63072.0,54663.0,2.0
GIC0@citterio_2013,2971.0,1697543.0,0.0,0.0,1688516.0,1686738.0,1687567.0,1681610.0,0.0,1655791.0,1688561.0,140.0,1684333.0,1686421.0,1687186.0,1681324.0,1654225.0,1688543.0,388.0,317.0,381.0,146.0,1566.0,18.0,3795.0
GIC1@citterio_2013,59849.0,0.0,65162.0,0.0,55786.0,56180.0,51745.0,46936.0,65162.0,57837.0,59001.0,150.0,1645.0,2759.0,1844.0,255.0,1303.0,2633.0,54141.0,53421.0,49901.0,46531.0,56534.0,56368.0,0.0
GIC2@citterio_2013,18439.0,0.0,0.0,21008.0,19491.0,19516.0,18891.0,17868.0,21008.0,16694.0,19053.0,17685.0,17555.0,18776.0,16822.0,146.0,14572.0,18013.0,1936.0,740.0,2069.0,37.0,2122.0,1040.0,0.0
all@BedMachine,78027.0,1688516.0,55786.0,19491.0,1777270.0,1762069.0,1759815.0,1746140.0,75277.0,1726618.0,1761998.0,17883.0,1711191.0,1708720.0,1706463.0,1681586.0,1668723.0,1709940.0,62028.0,53349.0,53352.0,46671.0,57895.0,52058.0,4051.0
all@GIMP,78416.0,1686738.0,56180.0,19516.0,1762069.0,1776439.0,1754363.0,1742427.0,75696.0,1725035.0,1759523.0,17633.0,1703489.0,1714846.0,1702934.0,1679111.0,1667220.0,1707586.0,55674.0,61593.0,51429.0,45683.0,57815.0,51937.0,2906.0
all@MAR,72920.0,1687567.0,51745.0,18891.0,1759815.0,1754363.0,1782705.0,1748938.0,70636.0,1722822.0,1761328.0,17987.0,1702418.0,1705013.0,1721585.0,1684702.0,1668621.0,1711821.0,53380.0,49350.0,61120.0,46249.0,54201.0,49507.0,4017.0
all@RACMO,66555.0,1681610.0,46936.0,17868.0,1746140.0,1742427.0,1748938.0,1782705.0,64804.0,1712836.0,1752045.0,21230.0,1694699.0,1697880.0,1702428.0,1700836.0,1663193.0,1706882.0,47500.0,44547.0,46510.0,60639.0,49643.0,45163.0,3941.0
all@citterio_2013,78288.0,0.0,65162.0,21008.0,75277.0,75696.0,70636.0,64804.0,86170.0,74531.0,78054.0,17835.0,19200.0,21535.0,18666.0,401.0,15875.0,20646.0,56077.0,54161.0,51970.0,46568.0,58656.0,57408.0,0.0
all@harper_2023,80636.0,1655791.0,57837.0,16694.0,1726618.0,1725035.0,1722822.0,1712836.0,74531.0,1745019.0,1725628.0,15382.0,1666396.0,1671114.0,1670384.0,1650296.0,1677343.0,1672542.0,56323.0,53921.0,52438.0,47158.0,67676.0,53086.0,3899.0
all@mouginot_2019,76700.0,1688561.0,59001.0,19053.0,1761998.0,1759523.0,1761328.0,1752045.0,78054.0,1725628.0,1789145.0,18046.0,1708635.0,1707867.0,1710533.0,1687820.0,1668532.0,1730537.0,53300.0,51656.0,50795.0,46179.0,57096.0,58608.0,63.0
attached@RACMO,16611.0,140.0,150.0,17685.0,17883.0,17633.0,17987.0,21230.0,17835.0,15382.0,18046.0,21230.0,16109.0,16930.0,16118.0,0.0,13352.0,17064.0,1757.0,703.0,1869.0,0.0,2030.0,982.0,17.0
main@BedMachine,20373.0,1684333.0,1645.0,17555.0,1711191.0,1703489.0,1702418.0,1694699.0,19200.0,1666396.0,1708635.0,16109.0,1711191.0,1702351.0,1700259.0,1677316.0,1662463.0,1708508.0,0.0,1138.0,2159.0,1274.0,3933.0,127.0,0.0
main@GIMP,22871.0,1686421.0,2759.0,18776.0,1708720.0,1714846.0,1705013.0,1697880.0,21535.0,1671114.0,1707867.0,16930.0,1702351.0,1714846.0,1701222.0,1678802.0,1666274.0,1706063.0,3463.0,0.0,3791.0,2148.0,4840.0,1804.0,2906.0
main@MAR,19755.0,1687186.0,1844.0,16822.0,1706463.0,1702934.0,1721585.0,1702428.0,18666.0,1670384.0,1710533.0,16118.0,1700259.0,1701222.0,1721585.0,1684497.0,1666268.0,1708957.0,2187.0,1712.0,0.0,1813.0,4116.0,1576.0,4017.0
main@RACMO,2600.0,1681324.0,255.0,146.0,1681586.0,1679111.0,1684702.0,1700836.0,401.0,1650296.0,1687820.0,0.0,1677316.0,1678802.0,1684497.0,1700836.0,1648887.0,1687785.0,353.0,309.0,205.0,0.0,1409.0,35.0,3917.0
main@harper_2023,17564.0,1654225.0,1303.0,14572.0,1668723.0,1667220.0,1668621.0,1663193.0,15875.0,1677343.0,1668532.0,13352.0,1662463.0,1666274.0,1666268.0,1648887.0,1677343.0,1667375.0,2361.0,946.0,2353.0,954.0,0.0,1157.0,3899.0
main@mouginot_2019,22037.0,1688543.0,2633.0,18013.0,1709940.0,1707586.0,1711821.0,1706882.0,20646.0,1672542.0,1730537.0,17064.0,1708508.0,1706063.0,1708957.0,1687785.0,1667375.0,1730537.0,1373.0,1523.0,2864.0,2033.0,5167.0,0.0,59.0
peripheral@BedMachine,57652.0,388.0,54141.0,1936.0,62028.0,55674.0,53380.0,47500.0,56077.0,56323.0,53300.0,1757.0,0.0,3463.0,2187.0,353.0,2361.0,1373.0,62028.0,52211.0,51193.0,45390.0,53962.0,51927.0,0.0
peripheral@GIMP,55545.0,317.0,53421.0,740.0,53349.0,61593.0,49350.0,44547.0,54161.0,53921.0,51656.0,703.0,1138.0,0.0,1712.0,309.0,946.0,1523.0,52211.0,61593.0,47638.0,43535.0,52975.0,50133.0,0.0
peripheral@MAR,53165.0,381.0,49901.0,2069.0,53352.0,51429.0,61120.0,46510.0,51970.0,52438.0,50795.0,1869.0,2159.0,3791.0,0.0,205.0,2353.0,2864.0,51193.0,47638.0,61120.0,44436.0,50085.0,47931.0,0.0
peripheral@RACMO,47344.0,146.0,46531.0,37.0,46671.0,45683.0,46249.0,60639.0,46568.0,47158.0,46179.0,0.0,1274.0,2148.0,1813.0,0.0,954.0,2033.0,45390.0,43535.0,44436.0,60639.0,46204.0,44146.0,7.0
peripheral@harper_2023,63072.0,1566.0,56534.0,2122.0,57895.0,57815.0,54201.0,49643.0,58656.0,67676.0,57096.0,2030.0,3933.0,4840.0,4116.0,1409.0,0.0,5167.0,53962.0,52975.0,50085.0,46204.0,67676.0,51929.0,0.0
peripheral@mouginot_2019,54663.0,18.0,56368.0,1040.0,52058.0,51937.0,49507.0,45163.0,57408.0,53086.0,58608.0,982.0,127.0,1804.0,1576.0,35.0,1157.0,0.0,51927.0,50133.0,47931.0,44146.0,51929.0,58608.0,4.0
shelf@BedMachine,2.0,3795.0,0.0,0.0,4051.0,2906.0,4017.0,3941.0,0.0,3899.0,63.0,17.0,0.0,2906.0,4017.0,3917.0,3899.0,59.0,0.0,0.0,0.0,7.0,0.0,4.0,4051.0
